"","...1","Obs_t_1","NINA1_avg_t_1","NINA1_std_t_1","year","target","time","OLR","ESPI","z500_std","YYYY"
"1",2,9,21.8477777777778,1.96217495538893,1981,7,1,518.3,-2.48841,-1.43,1981
"2",3,7,23.6111111111111,1.32463281075675,1982,2,2,389.5,11.688,-1.79,1982
"3",4,2,24.6844444444444,2.68881053317881,1983,3,3,468.5,6.67864,11.6,1983
"4",5,3,22.0955555555556,1.86691962571742,1984,5,4,638.2,-12.43343,-11.04,1984
"5",6,5,21.6344444444444,1.94424506914352,1985,7,5,580,-6.99321,-10.73,1985
"6",7,7,22.4833333333333,1.7804860447517,1986,4,6,473.6,-2.34024,-5.43,1986
"7",8,4,23.6633333333333,2.10276058630871,1987,3,7,240.5,14.78336,12.53,1987
"8",9,3,21.5422222222222,2.30072573091381,1988,5,8,628.8,-8.61034,4.21,1988
"9",10,5,22.1066666666667,2.1336139138404,1989,7,9,629.9,-5.49487,-13.82,1989
"10",11,7,22.0766666666667,2.08780769522057,1990,8,10,414.8,3.40572,3.16,1990
"11",12,8,22.9377777777778,1.62505448626602,1991,4,11,379.9,8.0794,2.09,1991
"12",13,4,22.8422222222222,2.6460452671025,1992,4,12,302.5,11.21525,-5.79,1992
"13",14,4,23.0555555555556,2.10398233516032,1993,4,13,310,6.81414,-5.82,1993
"14",15,4,22.3944444444444,1.80961379397189,1994,3,14,419.7,6.48314,-4.2,1994
"15",16,3,22.1866666666667,2.05263837671314,1995,11,15,560.3,-5.16445,2.58,1995
"16",17,11,21.6433333333333,2.07421605003486,1996,9,16,659.2,-7.67635,-6.93,1996
"17",18,9,25.5466666666667,1.00026524260096,1997,3,17,316.8,23.08765,-4.15,1997
"18",19,3,23.8322222222222,3.10760659511464,1998,10,18,594.8,1.54329,18.36,1998
"19",20,10,21.96,2.1143772067023,1999,8,19,706.7,-11.83338,-17.26,1999
"20",21,8,22.0277777777778,2.04281855261031,2000,8,20,691.7,-9.18764,-14.28,2000
"21",22,8,21.8288888888889,2.35063629092683,2001,9,21,523.3,-5.40494,-4.33,2001
"22",23,9,22.8744444444444,2.11484879286125,2002,4,22,349.7,9.72282,2.41,2002
"23",24,4,22.3722222222222,2.0115679346111,2003,7,23,481.1,0.31458,5.83,2003
"24",25,7,22.3077777777778,1.92111006683347,2004,10,24,450.6,2.83788,1.54,2004
"25",26,10,21.7777777777778,2.0542611540135,2005,15,25,485.5,-2.46283,11.45,2005
"26",27,15,22.99,1.52239463236924,2006,5,26,508.7,-0.18841,6.92,2006
"27",28,5,21.5222222222222,2.42189706979192,2007,6,27,571.8,-6.3906,5.96,2007
"28",29,6,22.9833333333333,1.87869561723612,2008,8,28,687.1,-10.74882,-7.05,2008
"29",30,8,22.9311111111111,1.63954685474032,2009,3,29,NA,-0.38614,6.17,2009
"30",31,3,21.8511111111111,2.59362787530431,2010,12,30,573.4,-3.93491,19.22,2010
"31",32,12,22.1566666666667,2.06991747017444,2011,7,31,686.8,-9.96793,-0.16,2011
"32",33,7,22.5822222222222,2.27007755007034,2012,10,32,569.6,-5.1515,-1.16,2012
"33",34,10,21.6455555555556,2.05411105401393,2013,2,33,583.3,-8.93066,6.92,2013
"34",35,2,23.2377777777778,1.62349845156139,2014,6,34,482.3,4.23252,6.77,2014
"35",36,6,24.2844444444444,1.28704091059902,2015,4,35,291.3,20.37436,14.21,2015
"36",37,4,23.2322222222222,2.36528759703057,2016,7,36,488.7,0.72938,25.68,2016
"37",38,7,22.3088888888889,2.89113251550707,2017,10,37,627.9,-10.38929,15.03,2017
"38",39,10,22.38,1.56176427122946,2018,8,38,607.2,-0.72309,7.83,2018
"39",40,8,22.3222222222222,2.43900025055805,2019,6,39,443,7.80664,17.46,2019
"40",41,6,21.8777777777778,2.41492048983444,2020,14,40,629.6,-6.27578,23.66,2020
"41",42,14,21.8277777777778,1.96488390242274,2021,7,41,697,-10.05624,13.07,2021
"42",43,7,21.5333333333333,1.97611923279498,2022,8,42,767.4,-12.58263,7.02,2022
