"","soi_long_y","year","pna_y","nina3_y_anom","oni","ESPI"
"1",-0.263333333333333,1979,-0.0691666666666667,0.0716666666666667,0.241666666666667,0.0386900000000001
"2",-0.4325,1980,0.144166666666667,-0.108333333333333,0.258333333333333,-1.36671
"3",0.0708333333333334,1981,0.108333333333333,-0.489166666666667,-0.283333333333333,-2.48841
"4",-1.45,1982,-0.358333333333333,0.985833333333333,1.00833333333333,11.688
"5",-0.948333333333333,1983,0.724166666666667,0.906666666666667,0.475,6.67864
"6",-0.1375,1984,-0.165,-0.6675,-0.491666666666667,-12.43343
"7",-0.0175,1985,-0.429166666666667,-0.929166666666667,-0.6,-6.99321
"8",-0.3225,1986,0.095,-0.0475,0.241666666666667,-2.34024
"9",-1.4775,1987,0.273333333333333,1.0875,1.275,14.78336
"10",0.736666666666667,1988,0.513333333333333,-1.11166666666667,-0.816666666666667,-8.61034
"11",0.616666666666667,1989,-0.655833333333333,-0.661666666666667,-0.608333333333333,-5.49487
"12",-0.325833333333333,1990,-0.726666666666667,-0.06,0.308333333333333,3.40572
"13",-1.01333333333333,1991,-0.155,0.445833333333333,0.641666666666667,8.0794
"14",-1.2275,1992,0.196666666666667,0.435833333333333,0.641666666666667,11.21525
"15",-1.10666666666667,1993,0.2275,0.336666666666667,0.325,6.81414
"16",-1.35333333333333,1994,-0.6825,0.0725,0.475,6.48314
"17",-0.335833333333333,1995,0.174166666666667,-0.4925,-0.158333333333333,-5.16445
"18",0.5625,1996,-0.5075,-0.68,-0.466666666666667,-7.67635
"19",-1.28833333333333,1997,0.101666666666667,1.44083333333333,1.16666666666667,23.08765
"20",-0.224166666666667,1998,0.293333333333333,0.495,-0.0666666666666667,1.54329
"21",0.786666666666667,1999,0.1875,-1.03083333333333,-1.23333333333333,-11.83338
"22",0.7225,2000,-0.3075,-0.6425,-0.825,-9.18764
"23",-0.0783333333333333,2001,0.0266666666666667,-0.338333333333333,-0.3,-5.40494
"24",-0.723333333333333,2002,-0.1225,0.458333333333333,0.633333333333333,9.72282
"25",-0.426666666666667,2003,2.32651716179181e-18,0.129166666666667,0.258333333333333,0.31458
"26",-0.633333333333333,2004,-0.0441666666666667,0.216666666666667,0.458333333333333,2.83788
"27",-0.456666666666667,2005,0.529166666666667,-0.18,0.0333333333333333,-2.46283
"28",-0.2825,2006,-0.279166666666667,0.168333333333333,0.0583333333333333,-0.18841
"29",0.035,2007,0.568333333333333,-0.815833333333333,-0.608333333333333,-6.3906
"30",0.9975,2008,-0.105833333333333,-0.319166666666667,-0.775,-10.74882
"31",-0.131666666666667,2009,0.0433333333333333,0.3625,0.3,-0.38614
"32",0.944166666666667,2010,0.486666666666667,-0.504166666666667,-0.475,-3.93491
"33",1.39583333333333,2011,-0.149166666666667,-0.65,-0.85,-9.96793
"34",-0.18,2012,-0.401666666666667,0.0483333333333333,-0.15,-5.1515
"35",0.345833333333333,2013,-0.4275,-0.4675,-0.325,-8.93066
"36",-0.381666666666667,2014,0.105833333333333,0.193333333333333,0.108333333333333,4.23252
"37",-1.17416666666667,2015,0.1275,1.52166666666667,1.45833333333333,20.37436
"38",-0.456666666666667,2016,0.4325,0.290833333333333,0.325,0.72938
"39",0.109166666666667,2017,0.0241666666666667,-0.205,-0.208333333333333,-10.38929
"40",0.0875,2018,-0.1425,-0.0816666666666667,0.00833333333333334,-0.72309
"41",-0.790833333333333,2019,0.00916666666666667,0.26,0.475,7.80664
"42",0.300833333333333,2020,0.0266666666666667,-0.4625,-0.366666666666667,-6.27578
"43",0.7725,2021,-0.274166666666667,-0.665833333333333,-0.725,-10.05624
"44",-15.4425,2022,0.065,-0.915833333333333,-0.941666666666667,-12.58263
